Time,Name,Attachment,Meet Name,Date,Event,Cut,Place
56.22,Jason Kim,Irvine Novaquatics,2017 CA Nov 18 NOVA Senior Rac,11/18/17,100 FL SCY Male,2016-2020 AA,Final 12th
56.88,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,100 FL SCY Male,2016-2020 AA,Final 5th
57.12,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,100 FL SCY Male,2016-2020 AA,Prelim 4th
57.27,Jason Kim,Irvine Novaquatics,2020 CA NOVA Sept Quarantine-NSV,9/11/20,100 FL SCY Male,"""BB""",Final 6th
57.43,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/8/17,100 FL SCY Male,2016-2020 AA,Final 1st
57.86,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/18/16,100 FL SCY Male,2016-2020 AA,Final 1st
01:00.2,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/17/17,100 FL SCY Male,2016-2020 A,Final 4th
01:01.3,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/15/15,100 FL SCY Male,2012-2016 AAA,Final 21st
01:01.6,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/10/16,100 FL SCY Male,2012-2016 AAA,Final 6th
01:01.9,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,100 FL SCY Male,2012-2016 AAA,Final 10th
01:02.0,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,100 FL SCY Male,2012-2016 AAA,Prelim 10th
01:02.2,Jason Kim,Irvine Novaquatics,2016 CA NOVA vs MVN Star League,11/12/16,100 FL SCY Male,2016-2020 BB,Final 4th
01:03.1,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/25/15,100 FL SCY Male,2012-2016 AAA,Final 4th
01:05.7,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/20/15,100 FL SCY Male,2012-2016 AA,Final 13th
01:07.0,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/11/15,100 FL SCY Male,2012-2016 AA,Final 2nd
01:08.3,Jason Kim,Irvine Novaquatics,2014 CA NOVA v PSP IMX Meet,10/26/14,100 FL SCY Male,2012-2016 A,Final 18th
01:10.7,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/21/14,100 FL SCY Male,2012-2016 BB,Final 27th
01:25.2,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,100 FL SCY Male,2012-2016 BB,Final 36th
01:33.0,Jason Kim,Irvine Novaquatics,"2013 CA GWSC ""BRW"" 12-12",12/7/13,100 FL SCY Male,2012-2016 BB,Final 2nd
01:54.9,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/18/23,200 FL SCY Male,"""Slower than B""",Final 11th
01:55.3,Jason Kim,Irvine Novaquatics,2021 CA SCS Race Series Champs,11/21/21,200 FL SCY Male,"""AAA""",Final 12th
01:56.0,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/18/23,200 FL SCY Male,"""Slower than B""",Prelim 12th
01:56.2,Jason Kim,Irvine Novaquatics,Concordia v. Chapman,12/2/22,200 FL SCY Male,"""Slower than B""",Final 1st
01:57.7,Jason Kim,Irvine Novaquatics,2018 CA NOVA Senior,11/17/18,200 FL SCY Male,2016-2020 AAA,Final 5th
01:57.9,Jason Kim,Irvine Novaquatics,2019 Sectionals - Carlsbad,3/2/19,200 FL SCY Male,2016-2020 AAA,Prelim 54th
01:58.2,Jason Kim,Irvine Novaquatics,2018 CA Kevin B Perry Senior,11/4/18,200 FL SCY Male,2016-2020 AAA,Prelim 61st
01:58.2,Jason Kim,Irvine Novaquatics,2022 CA RMDA Road to 2022 SCY Prelims,1/15/22,200 FL SCY Male,"""AA""",Prelim 15th
01:58.4,Jason Kim,Irvine Novaquatics,Chapman/Caltech at CMS,11/12/22,200 FL SCY Male,"""Slower than B""",Final 6th
01:58.9,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,200 FL SCY Male,2016-2020 AAA,Prelim 3rd
01:59.3,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/8/18,200 FL SCY Male,2016-2020 AA,Prelim 5th
01:59.3,Jason Kim,Unattached,2024 SCIAC Champs,2/25/24,200 FL SCY Male,"""Slower than B""",Prelim 20th
01:59.4,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,200 FL SCY Male,2016-2020 AAA,Final 4th
01:59.5,Jason Kim,Irvine Novaquatics,Chapman at Occidental,2/4/23,200 FL SCY Male,"""Slower than B""",Final 2nd
02:00.0,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #4 AZOT- NOVA1,10/24/21,200 FL SCY Male,"""AA""",Final 3rd
02:00.0,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,200 FL SCY Male,2016-2020 AAA,Prelim 2nd
02:00.2,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,200 FL SCY Male,2016-2020 AAA,Final 2nd
02:00.2,Jason Kim,Irvine Novaquatics,Chapman at Cal Lutheran,1/14/23,200 FL SCY Male,"""Slower than B""",Final 1st
02:00.3,Jason Kim,Irvine Novaquatics,Redlands v. Chapman,1/28/23,200 FL SCY Male,"""Slower than B""",Final 3rd
02:00.6,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/8/18,200 FL SCY Male,2016-2020 AA,Final 9th
02:00.9,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,200 FL SCY Male,2016-2020 AA,Prelim 5th
02:00.9,Jason Kim,Irvine Novaquatics,2019 CA SRS ROSE-NOVA#2,10/20/19,200 FL SCY Male,2016-2020 AA,Final 3rd
02:01.5,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/7/18,200 FL SCY Male,2016-2020 AAA,Final 6th
02:02.5,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,200 FL SCY Male,2016-2020 AA,Final 7th
02:03.3,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #2 NOVA #1-ROSE,10/10/21,200 FL SCY Male,"""A""",Final 8th
02:03.7,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/20/18,200 FL SCY Male,2016-2020 AA,Final 22nd
02:04.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA Race Series,10/8/17,200 FL SCY Male,2016-2020 AAA,Final 5th
02:04.4,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 1,3/27/21,200 FL SCY Male,"""A""",Final 3rd
02:04.6,Jason Kim,Unattached,Chapman vs. Cal Tech and Pomona-Pitzer,1/27/24,200 FL SCY Male,"""Slower than B""",Final 10th
02:06.5,Jason Kim,Irvine Novaquatics,2019 CA MVN Sr Q Qualifier,1/19/19,200 FL SCY Male,2016-2020 A,Final 18th
02:06.8,Jason Kim,Irvine Novaquatics,2018 CA NOVA Senior Intrasquad,2/17/18,200 FL SCY Male,2016-2020 AA,Final 6th
02:09.0,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/22/16,200 FL SCY Male,2016-2020 AA,Final 26th
02:09.7,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/4/17,200 FL SCY Male,2016-2020 AA,Final 2nd
02:19.3,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,200 FL SCY Male,2016-2020 BB,Prelim 20th
02:23.9,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/14/15,200 FL SCY Male,2012-2016 AA,Final 18th
54.2,Jason Kim,Irvine Novaquatics,Bulldog Pentatlhon,10/15/22,100 IM SCY Male,"""Slower than B""",Final 1st
54.95,Jason Kim,Unattached,Bulldog Pentathlon,10/7/23,100 IM SCY Male,"""Slower than B""",Final 4th
57.51,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/23/18,100 IM SCY Male,"""Slower than B""",Final 16th
01:01.3,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/18/16,100 IM SCY Male,"""Slower than B""",Final 2nd
01:02.7,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/4/15,100 IM SCY Male,2012-2016 AAA,Final 5th
01:02.9,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/2/16,100 IM SCY Male,2012-2016 AAA,Prelim 16th
01:03.1,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/4/15,100 IM SCY Male,2012-2016 AAA,Prelim 6th
01:05.9,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/20/15,100 IM SCY Male,2012-2016 AA,Final 8th
01:06.2,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/11/15,100 IM SCY Male,2012-2016 AA,Final 1st
01:06.5,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/14/15,100 IM SCY Male,2012-2016 AA,Prelim 25th
01:08.1,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/16/14,100 IM SCY Male,2012-2016 AA,Final 3rd
01:08.2,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/13/14,100 IM SCY Male,2012-2016 A,Final 14th
01:09.3,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/20/14,100 IM SCY Male,2012-2016 A,Final 12th
01:17.7,Jason Kim,Irvine Novaquatics,2014 CA GWSC JO Champs,1/17/14,100 IM SCY Male,2012-2016 A,Prelim 29th
01:20.0,Jason Kim,Irvine Novaquatics,2013 CA SCS/PSP Winter Age Gro,12/13/13,100 IM SCY Male,2012-2016 A,Final 25th
01:24.5,Jason Kim,Irvine Novaquatics,2013 CA NOVA v Canyons IMX Mee,10/26/13,100 IM SCY Male,2012-2016 BB,Final 13th
01:30.8,Jason Kim,Irvine Novaquatics,2013 CA NOVA BRW Short Course Mee,7/13/13,100 IM SCY Male,2012-2016 B,Final 18th
01:32.6,Jason Kim,Irvine Novaquatics,2013 CA OCSL July Meet-2,7/27/13,100 IM SCY Male,2012-2016 B,Final 4th
01:55.6,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/16/23,200 IM SCY Male,"""Slower than B""",Prelim 15th
01:56.5,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/16/23,200 IM SCY Male,"""Slower than B""",Final 15th
01:56.6,Jason Kim,Unattached,2024 SCIAC Champs,2/23/24,200 IM SCY Male,"""Slower than B""",Prelim 24th
01:58.9,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,200 IM SCY Male,2016-2020 AAA,Prelim 4th
02:00.1,Jason Kim,Irvine Novaquatics,2018 CA Kevin B Perry Senior,11/2/18,200 IM SCY Male,2016-2020 AA,Prelim 87th
02:00.1,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,200 IM SCY Male,2016-2020 AA,Final 4th
02:01.4,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,200 IM SCY Male,2016-2020 AAA,Prelim 2nd
02:01.7,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/6/18,200 IM SCY Male,2016-2020 AAA,Final 8th
02:02.1,Jason Kim,Unattached,Chapman vs. College of Idaho,2/3/24,200 IM SCY Male,"""Slower than B""",Final 3rd
02:02.4,Jason Kim,Irvine Novaquatics,Chapman at Cal Lutheran,1/14/23,200 IM SCY Male,"""Slower than B""",Final 3rd
02:03.2,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/21/18,200 IM SCY Male,2016-2020 AA,Final 23rd
02:03.2,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/8/18,200 IM SCY Male,2016-2020 AA,Prelim 22nd
02:04.5,Jason Kim,Irvine Novaquatics,2017 CA Oct 22 NOVA Race Series,10/22/17,200 IM SCY Male,2016-2020 AAA,Final 10th
02:04.5,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,200 IM SCY Male,2016-2020 AAA,Final 3rd
02:05.5,Jason Kim,Irvine Novaquatics,2016 CA NOVAMBER Intrasquad,11/11/16,200 IM SCY Male,2016-2020 AAA,Final 4th
02:07.0,Jason Kim,Unattached,Chapman vs Biola and Concordia,12/1/23,200 IM SCY Male,"""Slower than B""",Final 11th
02:08.1,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/22/18,200 IM SCY Male,2016-2020 A,Final 28th
02:08.5,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/7/17,200 IM SCY Male,2016-2020 AA,Final 1st
02:09.3,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/23/16,200 IM SCY Male,2016-2020 AA,Final 19th
02:10.5,Jason Kim,Irvine Novaquatics,2021 CA NOVA January Racing Day,1/30/21,200 IM SCY Male,"""BB""",Final 21st
02:10.6,Jason Kim,Irvine Novaquatics,2020 CA NOVA Sept Quarantine-NSV,9/11/20,200 IM SCY Male,"""BB""",Final 7th
02:13.9,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/16/17,200 IM SCY Male,2016-2020 A,Final 6th
02:14.4,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/25/15,200 IM SCY Male,2012-2016 AAA,Final 3rd
02:14.5,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/17/17,200 IM SCY Male,2016-2020 A,Prelim 45th
02:18.1,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,200 IM SCY Male,2012-2016 AAA,Prelim 11th
02:21.0,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/10/15,200 IM SCY Male,2012-2016 AA,Final 1st
02:22.1,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/19/15,200 IM SCY Male,2012-2016 AA,Final 11th
02:23.1,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/15/15,200 IM SCY Male,2012-2016 AA,Final 22nd
02:24.7,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/15/14,200 IM SCY Male,2012-2016 AA,Final 5th
02:25.0,Jason Kim,Irvine Novaquatics,2014 CA NOVA v PSP IMX Meet,10/26/14,200 IM SCY Male,2012-2016 AA,Final 15th
02:25.3,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/15/15,200 IM SCY Male,2012-2016 AA,Prelim 32nd
02:28.9,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/21/14,200 IM SCY Male,2012-2016 A,Final 33rd
02:30.3,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/14/14,200 IM SCY Male,2012-2016 A,Final 27th
02:46.0,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/7/14,200 IM SCY Male,2012-2016 AA,Final 1st
02:54.4,Jason Kim,Irvine Novaquatics,2013 CA SCS/PSP Winter Age Gro,12/13/13,200 IM SCY Male,2012-2016 BB,Final 30th
02:55.1,Jason Kim,Irvine Novaquatics,"2013 CA GWSC ""BRW"" 12-12",12/7/13,200 IM SCY Male,2012-2016 BB,Final 4th
02:55.9,Jason Kim,Irvine Novaquatics,2013 CA NOVAmber Intrasquad Me,11/16/13,200 IM SCY Male,2012-2016 BB,Final 42nd
04:18.8,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/20/18,400 IM SCY Male,2016-2020 AA,Final 16th
04:27.8,Jason Kim,Irvine Novaquatics,2017 CA NOVAmber Intrasquad Meet,11/19/17,400 IM SCY Male,2016-2020 AAA,Final 2nd
04:29.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/5/17,400 IM SCY Male,2016-2020 AA,Final 2nd
04:35.9,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/22/16,400 IM SCY Male,2016-2020 AA,Final 22nd
04:49.1,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/12/16,400 IM SCY Male,2012-2016 AAA,Final 2nd
04:59.4,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/14/15,400 IM SCY Male,2012-2016 AA,Final 24th
01:27.8,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 1,3/27/21,200 FR-R SCY Male,"""Slower than B""",Final 2nd
01:28.4,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Ser Champs,5/8/21,200 FR-R SCY Male,"""Slower than B""",Final 2nd
01:29.2,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 2,4/9/21,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:30.1,Jason Kim,Irvine Novaquatics,2021 CA SCS Race Series Champs,11/21/21,200 FR-R SCY Male,"""Slower than B""",Final 7th
01:30.7,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:31.3,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #4 AZOT- NOVA1,10/24/21,200 FR-R SCY Male,"""Slower than B""",Final 2nd
01:31.8,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,200 FR-R SCY Male,"""Slower than B""",Final 2nd
01:33.8,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:34.1,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:35.0,Jason Kim,Swim Pasadena,2017 CA NOVA v ROSE14un DUAL,2/4/17,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:40.2,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:40.4,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/3/16,200 FR-R SCY Male,"""Slower than B""",Final 4th
01:41.4,Jason Kim,Irvine Novaquatics,2015 CA NOVA v CANY,10/31/15,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:41.8,Jason Kim,Irvine Novaquatics,2016 CA STAR League Finale,2/6/16,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:43.0,Jason Kim,Irvine Novaquatics,2016 CA Star League-MVN v.s. NOVA,1/16/16,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:43.3,Jason Kim,Irvine Novaquatics,2015 CA NOVA v ROSE,10/3/15,200 FR-R SCY Male,"""Slower than B""",Final 1st
01:48.1,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,200 FR-R SCY Male,"""Slower than B""",Final 4th
01:48.2,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/13/14,200 FR-R SCY Male,"""Slower than B""",Final 4th
01:51.8,Jason Kim,Irvine Novaquatics,2014 CA ROSE v NOVA Dual Meet,11/29/14,200 FR-R SCY Male,"""Slower than B""",Final 3rd
02:05.9,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/19/14,200 FR-R SCY Male,"""Slower than B""",Final 2nd
02:08.8,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/8/14,200 FR-R SCY Male,"""Slower than B""",Final 1st
03:16.4,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/9/18,400 FR-R SCY Male,"""Slower than B""",Final 3rd
03:19.0,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/16/18,400 FR-R SCY Male,"""Slower than B""",Final 1st
03:19.2,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-RMDA,9/22/19,400 FR-R SCY Male,"""Slower than B""",Final
03:21.4,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #3 AZOT-NOVA1,10/24/21,400 FR-R SCY Male,"""Slower than B""",Final 2nd
03:24.2,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/17/17,400 FR-R SCY Male,"""Slower than B""",Final 2nd
03:24.7,Jason Kim,Irvine Novaquatics,2016 CA Star League CANY vs NOVA,10/8/16,400 FR-R SCY Male,"""Slower than B""",Final 1st
03:25.0,Jason Kim,Irvine Novaquatics,2019 CA SRS ROSE-NOVA#2,10/20/19,400 FR-R SCY Male,"""Slower than B""",Final 3rd
03:25.6,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,400 FR-R SCY Male,"""Slower than B""",Final
03:26.7,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,400 FR-R SCY Male,"""Slower than B""",Final 1st
03:30.5,Jason Kim,Irvine Novaquatics,2021 CA SCS SR#1 CANY-NOVA 1,9/19/21,400 FR-R SCY Mixed,"""Slower than B""",Final 5th
03:39.2,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,400 FR-R SCY Male,"""Slower than B""",Final 1st
03:43.1,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/1/16,400 FR-R SCY Male,"""Slower than B""",Final 4th
03:49.6,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/16/15,400 FR-R SCY Male,"""Slower than B""",Final 4th
07:23.3,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/7/18,800 FR-R SCY Male,"""Slower than B""",Final 2nd
07:26.1,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/8/17,800 FR-R SCY Male,"""Slower than B""",Final 1st
07:38.0,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/9/16,800 FR-R SCY Male,"""Slower than B""",Final 1st
01:36.2,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Ser Champs,5/8/21,200 MED-R SCY Male,"""Slower than B""",Final 3rd
01:37.1,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 1,3/27/21,200 MED-R SCY Male,"""Slower than B""",Final 2nd
01:37.8,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 3,4/24/21,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:39.1,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 2,4/9/21,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:40.1,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/9/18,200 MED-R SCY Male,"""Slower than B""",Final 3rd
01:40.9,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #2 NOVA #1-ROSE,10/10/21,200 MED-R SCY Male,"""Slower than B""",Final 6th
01:42.4,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,200 MED-R SCY Male,"""Slower than B""",Final 4th
01:43.5,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,200 MED-R SCY Male,"""Slower than B""",Final 2nd
01:45.5,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,200 MED-R SCY Male,"""Slower than B""",Final 2nd
01:47.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA v ROSE14un DUAL,2/4/17,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:49.8,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,200 MED-R SCY Male,"""Slower than B""",Final 3rd
01:53.2,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:53.5,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/2/16,200 MED-R SCY Male,"""Slower than B""",Final 4th
01:54.0,Jason Kim,Irvine Novaquatics,2015 CA NOVA v ROSE,10/3/15,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:54.3,Jason Kim,Irvine Novaquatics,2015 CA NOVA v CANY,10/31/15,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:55.2,Jason Kim,Irvine Novaquatics,2016 CA STAR League Finale,2/6/16,200 MED-R SCY Male,"""Slower than B""",Final 1st
01:56.3,Jason Kim,Irvine Novaquatics,2016 CA Star League-MVN v.s. NOVA,1/16/16,200 MED-R SCY Male,"""Slower than B""",Final 1st
02:00.3,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/16/15,200 MED-R SCY Male,"""Slower than B""",Final 9th
02:05.1,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,200 MED-R SCY Male,"""Slower than B""",Final 4th
02:06.4,Jason Kim,Irvine Novaquatics,2014 CA ROSE v NOVA Dual Meet,11/29/14,200 MED-R SCY Male,"""Slower than B""",Final 3rd
02:30.3,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/9/14,200 MED-R SCY Male,"""Slower than B""",Final 2nd
03:36.2,Jason Kim,Irvine Novaquatics,2021 CA SCS Race Series Champs,11/21/21,400 MED-R SCY Male,"""Slower than B""",Final 12th
03:41.0,Jason Kim,Irvine Novaquatics,2019 CA SRS Championships,11/16/19,400 MED-R SCY Male,"""Slower than B""",Final 22nd
03:41.2,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/17/18,400 MED-R SCY Male,"""Slower than B""",Final 4th
03:41.7,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/18/17,400 MED-R SCY Male,"""Slower than B""",Final 2nd
03:42.0,Jason Kim,Irvine Novaquatics,2021 CA SCS SR#1 CANY-NOVA 1,9/19/21,400 MED-R SCY Male,"""Slower than B""",Final 3rd
03:45.0,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-CANY,10/6/19,400 MED-R SCY Male,"""Slower than B""",Final 3rd
03:48.9,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-RMDA,9/22/19,400 MED-R SCY Male,"""Slower than B""",Final
03:51.0,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/9/17,400 MED-R SCY Male,"""Slower than B""",Final 1st
03:52.8,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,400 MED-R SCY Male,"""Slower than B""",Final 1st
03:53.3,Jason Kim,Irvine Novaquatics,2016 CA NOVA vs MVN Star League,11/12/16,400 MED-R SCY Male,"""Slower than B""",Final 1st
03:54.9,Jason Kim,Irvine Novaquatics,2016 CA Star League CANY vs NOVA,10/8/16,400 MED-R SCY Male,"""Slower than B""",Final 2nd
04:06.8,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,400 MED-R SCY Male,"""Slower than B""",Final 1st
04:09.9,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,3/31/16,400 MED-R SCY Male,"""Slower than B""",Final 4th
04:41.3,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/14/14,400 MED-R SCY Male,"""Slower than B""",Final 8th
